ROOT/TECHNICAL SKILLS
ROOT/DATABASE MANAGEMENT/DATABASE_DESIGN
ROOT/DATABASE MANAGEMENT/POSTGRESQL_EXPERTISE/PERFORMANCE_TUNING
ROOT/DATABASE MANAGEMENT/POSTGRESQL_EXPERTISE/BACKUP_RECOVERY
ROOT/DATABASE MANAGEMENT/POSTGRESQL_EXPERTISE/SECURITY_CONFIGURATIONS/AUTHENTICATION_METHODS
ROOT/DATABASE MANAGEMENT/POSTGRESQL_EXPERTISE/SECURITY_CONFIGURATIONS/ENCRYPTION_TECHNIQUES
ROOT/DATABASE MANAGEMENT/POSTGRESQL_EXPERTISE/SECURITY_CONFIGURATIONS/INTRUSION_DETECTION
ROOT/DATABASE MANAGEMENT/QUERY_OPTIMIZATION
ROOT/FRONTEND DEVELOPMENT/REACT_LIBRARY_USE
ROOT/FRONTEND DEVELOPMENT/STATE_MANAGEMENT_TECHNOLOGIES
ROOT/FRONTEND DEVELOPMENT/FRONTEND_BUILD_TOOLS
