Model,Manual_Result,Manual_Correct,CPU_Accuracy,CPU_Original_Prompt,CPU_Simplified_Prompt,CPU_Avg_Latency,GPU_Accuracy,GPU_Original_Prompt,GPU_Simplified_Prompt,GPU_Avg_Latency,Hardware_Speedup,CPU_Sample_Responses,GPU_Sample_Responses
codegemma:2b,N/A,No,20.0%,0.0%,40.0%,23.7s,0.0%,0.0%,0.0%,8.9s,2.7x,[11 (no brackets)] | [1] | [NO_NUMBER_FOUND],[1] | [1] | [4]
codegemma:latest,[5],No,0.0%,0.0%,0.0%,5.9s,25.0%,0.0%,66.7%,5.2s,1.1x,[5] | [5] | [5],[5] | [5] | [5]
deepseek-r1:8b,[3],Yes,100.0%,0.0%,100.0%,68.6s,85.7%,75.0%,100.0%,132.3s,0.5x,[3],[3] | [3] | [0]
dolphin3:8b,[5],No,80.0%,100.0%,60.0%,6.2s,87.5%,100.0%,66.7%,2.9s,2.1x,[3] | [3] | [3],[3] | [3] | [3]
dolphin3:latest,N/A,No,80.0%,80.0%,80.0%,5.7s,75.0%,80.0%,66.7%,4.7s,1.2x,[3 (no brackets)] | [3] | [3],[4] | [3] | [3]
gemma2:latest,[3],Yes,100.0%,100.0%,100.0%,6.6s,100.0%,100.0%,100.0%,5.5s,1.2x,[3] | [3] | [3],[3] | [3] | [3]
gemma3:1b,[2],No,60.0%,80.0%,40.0%,0.9s,50.0%,80.0%,0.0%,2.3s,0.4x,[3] | [3] | [NO_NUMBER_FOUND],[3] | [3] | [3]
gemma3:4b,[3],Yes,0.0%,0.0%,0.0%,3.4s,0.0%,0.0%,0.0%,3.4s,1.0x,[8] | [8] | [8],[8] | [6] | [8]
gemma3n:e2b,[3],Yes,50.0%,0.0%,100.0%,2.2s,37.5%,0.0%,100.0%,5.4s,0.4x,[4] | [4] | [4],[4] | [4] | [4]
gemma3n:latest,[ 3 ],Yes,90.0%,80.0%,100.0%,4.7s,87.5%,80.0%,100.0%,8.4s,0.6x,[3] | [3 (no brackets)] | [3],[3 (no brackets)] | [3 (no brackets)] | [3]
gpt-oss:latest,[3],Yes,100.0%,100.0%,100.0%,69.2s,100.0%,100.0%,100.0%,74.9s,0.9x,[3] | [3] | [3],[3] | [3] | [3]
granite3.1-moe:3b,[6],No,30.0%,20.0%,40.0%,1.1s,0.0%,0.0%,0.0%,2.8s,0.4x,[2] | [2] | [2],[1] | [1] | [1]
llama3.2:1b,[7],No,0.0%,0.0%,0.0%,0.9s,12.5%,0.0%,33.3%,7.6s,0.1x,[7] | [12] | [1],[14] | [1] | [1]
llama3.2:latest,[3],Yes,10.0%,0.0%,20.0%,2.8s,0.0%,0.0%,0.0%,3.1s,0.9x,[7] | [7] | [7],[7] | [7] | [7]
mistral-nemo:12b,[3],Yes,50.0%,40.0%,60.0%,10.2s,62.5%,60.0%,66.7%,6.4s,1.6x,[2] | [3] | [3],[1] | [13] | [3]
mistral:latest,[3],Yes,10.0%,20.0%,0.0%,6.4s,12.5%,20.0%,0.0%,4.6s,1.4x,[3] | [2] | [2],[2] | [2] | [3]
olmo2:latest,[4],No,10.0%,20.0%,0.0%,5.3s,25.0%,20.0%,33.3%,4.4s,1.2x,[4] | [3] | [2],[8] | [3] | [7]
phi3:3.8b,[3],Yes,40.0%,40.0%,40.0%,5.0s,12.5%,20.0%,0.0%,3.5s,1.4x,[4] | [4] | [4],[5] | [5] | [5]
phi3:latest,N/A,No,20.0%,0.0%,40.0%,4.0s,0.0%,0.0%,0.0%,2.7s,1.5x,[4] | [4] | [4],[4] | [5] | [5]
phi4-mini-reasoning:latest,[3],Yes,80.0%,100.0%,60.0%,35.4s,62.5%,60.0%,66.7%,25.9s,1.4x,[3] | [3] | [3],[3] | [2] | [3]
phi4-mini:latest,[3],Yes,40.0%,60.0%,20.0%,2.9s,62.5%,100.0%,0.0%,3.5s,0.8x,[2] | [3] | [2],[3] | [3] | [3]
qwen2.5:7b,[3],Yes,50.0%,80.0%,20.0%,6.1s,0.0%,0.0%,0.0%,4.4s,1.4x,[3] | [3] | [3],[NO_NUMBER_FOUND] | [NO_NUMBER_FOUND] | [NO_NUMBER_FOUND]
qwen2.5vl:latest,"[strawberry contains 2 ""r"" letters]",No,0.0%,0.0%,0.0%,5.6s,0.0%,0.0%,0.0%,4.0s,1.4x,[2] | [2] | [2],[2] | [2] | [2]
qwen3:0.6b,[2],No,10.0%,0.0%,20.0%,5.0s,37.5%,20.0%,66.7%,3.2s,1.6x,[2] | [2] | [2],[4] | [2] | [2]
qwen3:1.7b,[3],Yes,90.0%,100.0%,80.0%,19.3s,87.5%,80.0%,100.0%,5.6s,3.5x,[3] | [3] | [3 (no brackets)],[3] | [2 (no brackets)] | [3]
qwen3:4b,[3],Yes,100.0%,100.0%,100.0%,26.6s,100.0%,100.0%,100.0%,15.2s,1.7x,[3] | [3] | [3],[3] | [3] | [3]
qwen3:latest,[3],Yes,100.0%,100.0%,100.0%,77.9s,100.0%,100.0%,100.0%,21.6s,3.6x,[3] | [3] | [3],[3] | [3] | [3]
